x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
1.48771,-0.42361,999.44212,-100.46249,-0.93195,surströmming,0.54518,0.48037,5478.94492,-89186.51232,True,False,24.10678
1.24551,-0.21034,999.83363,-100.14708,-0.46274,surströmming,-0.40351,0.28750,5477.01037,-89185.76899,True,False,12.19222
1.89682,-0.64832,999.57865,-100.35757,-1.42630,surströmming,-2.73847,1.03223,5473.88966,-89187.02899,True,False,44.63022
1.60862,-0.55085,999.62001,-100.31877,-1.21187,surströmming,0.43955,-0.38837,5473.25603,-89186.42960,True,False,30.24086
-0.59935,1.63107,999.69906,-100.25344,3.58835,mustard silt,0.21043,0.41785,5474.75970,-89186.58381,True,False,-80.11783
1.29311,-0.36170,999.41065,-100.48547,-0.79575,surströmming,-0.08699,-0.56934,5474.62769,-89187.23492,True,False,14.36061
-0.16773,0.97302,999.85359,-100.12944,2.14065,curry silt,0.39774,0.63252,5476.09646,-89187.83735,True,False,-58.45959
0.13369,0.79179,999.82299,-100.15650,1.74194,silt med schnapps,0.12705,0.22153,5478.45524,-89186.00079,True,False,-43.40402
0.94566,-0.01871,1000.08724,-99.93687,-0.04116,surströmming,-0.86673,-0.40127,5474.72217,-89187.48590,True,False,-2.67352
3.07519,-2.24573,999.57859,-100.35516,-4.94061,surströmming,0.82150,1.15921,5477.59628,-89186.92165,True,False,103.54888
1.93067,-1.04206,999.71538,-100.24313,-2.29253,surströmming,0.41556,1.12683,5475.72047,-89184.23550,True,False,46.39140
1.72147,-1.07665,999.45070,-100.45855,-2.36864,surströmming,-0.89946,-2.61641,5471.41619,-89186.22938,True,False,35.79899
1.55062,-0.37968,999.57157,-100.35701,-0.83529,surströmming,1.89652,-0.38670,5474.18274,-89186.84575,True,False,27.31662
-0.11885,1.14781,999.97295,-100.03519,2.52518,mustard silt,2.36791,-0.71868,5474.22182,-89185.37928,True,False,-55.95619
2.26035,-1.16724,999.44951,-100.45789,-2.56792,surströmming,-1.17118,-0.65045,5473.57254,-89186.90491,True,False,62.74246
0.85649,0.14759,999.52792,-100.38939,0.32470,surströmming,0.76622,-0.07304,5474.09374,-89186.13882,True,False,-7.41148
2.09569,-1.03368,999.43624,-100.45861,-2.27410,surströmming,-2.83822,0.01025,5474.73115,-89186.94577,True,False,54.50276
-0.28120,1.28799,999.58170,-100.35064,2.83358,silt med onions,0.54690,1.05298,5474.02876,-89186.26962,True,False,-64.26893
2.25651,-1.51469,999.97150,-100.03567,-3.33233,surströmming,-0.51098,-0.72725,5476.20269,-89187.90347,True,False,62.81148
3.01664,-2.15973,999.50993,-100.41493,-4.75140,surströmming,2.64273,2.99184,5476.48001,-89183.52011,True,False,100.58684
0.14280,0.87972,999.73231,-100.22617,1.93537,surströmming,0.38044,0.48340,5479.46772,-89185.78544,True,False,-42.99375
1.03776,0.24824,999.60153,-100.32554,0.54613,surströmming,0.21368,0.77332,5474.90530,-89184.76206,True,False,1.68892
0.94164,0.07693,999.80485,-100.17195,0.16924,surströmming,-0.49335,-0.13162,5475.15640,-89186.24147,True,False,-3.01558
-0.79605,1.83378,999.51562,-100.40340,4.03433,mustard silt,1.73649,0.07987,5477.11046,-89187.32707,True,False,-90.04460
2.55588,-1.73520,999.55749,-100.36290,-3.81745,surströmming,3.27706,1.61468,5475.84881,-89182.86240,True,False,77.57283
1.08066,-0.20700,999.56033,-100.37530,-0.45539,surströmming,0.12013,-0.33020,5474.71974,-89187.06568,True,False,3.81324
0.81762,0.11439,999.87043,-100.11148,0.25166,surströmming,0.05286,-0.36757,5480.38619,-89184.67108,True,False,-9.18402
0.39346,0.50982,999.45333,-100.45497,1.12161,surströmming,0.03153,-0.41883,5477.38314,-89186.72181,True,False,-30.60035
0.95108,-0.18468,999.93279,-100.06733,-0.40629,surströmming,-0.24485,-0.45019,5474.75891,-89187.30244,True,False,-2.47971
0.97348,-0.00650,1000.17558,-99.86738,-0.01431,surströmming,-0.51700,0.34487,5474.48165,-89185.09069,True,False,-1.23799
